DATE,Item ,"UNIT (box, sleeve, etc)",Quantity in store,,,Price purchased,Price sold,Supplier,Quantity in warehouse,
,Low-Fat,,2,,,,,,,
,Half n Half,,8,,,,,,,
,Heavy Cream,,4,,,,,,,
,Oat,,18,,,,,,,
,Almond,,16,,,,,,,
,Lemonade,,4,,,,,,,
,Soy,,29,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate sauce,bottle,3,,,,,,,
,Homemade Vanilla,bottle,7,,,,,,,
,Vanilla Creme,bottle,OUT,,,,,,,
,Caramel,bottle,3,,,,,,,
,Strawberry,bottle,1-LOW,,,,,,,
,Pistachio,bottle,3,,,,,,,
,Vanilla ,bottle,0,,,,,,,
,Sugar Free Vanilla,bottle,3,,,,,,,
,Honey,Bottle,2,,,,,,,
,Irish Cream,bottle,1,,,,,,,
,Ube,bottle,0,,,,,,,
,Rose,bottle,3,,,,,,,
,Gingerbread,bottle,0,,,,,,,
,Dark chocolate syrup,bottle,4,,,,,,,
,Peppermint,bottle,1,,,,,,,
,,,,,,,,,,
,TEA,,,,,,,,,
,Matcha,bag,1,,,,,,,
,Chai Masala,bottle,14,,,,,,,
,Turmeric Ginger,carton,40,,,,,,,
,English Breakfast,bag,1.5,,,,,,,
,Earl Grey,bag,OUT,,,,,,,
,Pineapple Papaya,bag,1.5,,,,,,,
,Moroccan Mint,bag,1.5,,,,,,,
,Jasmine,bag,2,,,,,,,
,"Chai, caffeine free",bag,2,,,,,,,
,Chamomint,bag,0.5,,,,,,,
,Crimson berry ,bag,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,2,,,,,,,
,Raisins,bags,1.5,,,,,,,
,Walnuts,Bags,0,,,,,,,
,Pistachios,Bag,1,,,,,,,
,Cinnamon,,3/4,,,,,,,
,Sweet and low ,,0.5,,,,,,,
,Stevia,Box,1.5,,,,,,,
,Raw Sugar,Box,1.5,,,,,,,
,Splenda,Box,1.5,,,,,,,
,White sugar bulk,,1 small bag,,,,,,,
,White sugar packets,Box,2,,,,,,,
,Greek seasoning,bottle,3,,,,,,,
,Rose Powder,,.5 LOW,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16-18 oz Cups,sleeve,7,,,,,,,
,Cold 12-14 oz Cups,Sleeve,2,,,,,,,
,Cold Lids,Sleeve,0.5,,,,,,,
,Cold 20 oz,Sleeve,0,,,,,,,
,Hot 12 oz Cups,box,21,,,,,,,
,Hot 12-24oz Lids,box,2,,,,,,,
,Hot 8oz Cups,box,1,,,,,,,
,Hot 8oz Lids,box,2,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,,,,,,,,
,San Pellegrino Cans,Cans,24,,,,,,,
,Fiji Small,Packs,35,,,,,,,
,Fiji Large,individual,6,,,,,,,
,Lychee Soda,can,19,,,,,,,
,Yuzu Ginger Soda,can,1,,,,,,,
,Hibiscus Rose Soda,can,24,,,,,,,
,Cucumber Soda,can,23,,,,,,,
,Gato Pistachios,,,,,,,,,
,Gato Walnut,,5,,,,,,,
,Gato peanut,,,,,,,,,
,Gato Almond,,1,,,,,,,
,Macaroon,individual,OUT,,,,,,,
,Chia parfait Berries,,,,,,,,,
,Chiamisu,,4,,,,,,,
,Vegan strawberry vanilla chia ,,4,,,,,,,
,Blue Mermaid protein bowl,,3,,,,,,,
,Chia dragon fruit,,2,,,,,,,
,Shanta,12 oz,4,,,,,,,
,Limmu,12 oz,1,,,,,,,
,Matcha,bags,,,,,,,,
,Chocolates ,,,,,,,,,
,Manos,12oz,,,,,,,,
,dubai chocolate,bars,4,,,,,,,
,chicken salad,,5,,,,,,,
,Turkey wrap,,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,3,,,,,,,
,Cucumber,,3,,,,,,,
,Tomato,,OUT,,,,,,,
,,,,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,1,,,,,,,
,Peanut Butter,64oz,3,,,,,,,
,Bread,Loaf,1.5,,,,,,,
,Lemon Juice,bottle,1.5,,,,,,,
,Hot sauce,,1.5,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Drip Filters,Bag,1.5,,,,,,,
,Scotch,,10,,,,,,,
,Gloves M,Box,6,,,,,,,
,Gloves Large,Box,3,,,,,,,
,Handsoap,Gallon,4,,,,,,,
,Bleach,Gallon,1/4,,,,,,,
,fabric clean,,1.5,,,,,,,
,Degreaser,,1,,,,,,,
,Cafiza,bucket,1,,,,,,,
,Rinza,container,1,,,,,,,
,Grindz,,4,,,,,,,
,Pink Sanitizer,,1,,,,,,,
,Thieves Solution,,0.5,,,,,,,
,Machine dish soap,,2,,,,,,,
,3 fold napkins,roll,28,,,,,,,
,2 fold napkins,roll,20,,,,,,,
,Toilet Paper,roll,30,,,,,,,
,Toilet seat cover,box,4,,,,,,,
,Febreze,,10,,,,,,,
,Dawn Dishsoap,bottle,4,,,,,,,
,Trash Bags 56 gal,box,2,,,,,,,
,Trash Bags 42 gal,box,2,,,,,,,
,Glass Cleaner ,,1,,,,,,,
,,,,,,,,,,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,125,,,,,,,
,Towels ,,FULL,,,,,,,
,Cup Sleeves,Box,1,,,,,,,
,Cup Carriers,box,1,,,,,,,
,Pastry Bag,Box/individual,1 box,,,,,,,
,To-Go Box,Sleeve,1,,,,,,,
,To-Go Bag,box,1,,,,,,,
,Straws,box,1,,,,,,,
,Stickers,roll,1 LOW,,,,,,,
,Stir Sticks,Box,7,,,,,,,
,Stoppers,packs,1.5,,,,,,,
,Matcha bowl,individual,1,,,,,,,
,Matcha whisk,individual,2,,,,,,,
,Large coffee filter,Sleeve/bag,4,,,,,,,
,Plastic forks,Box,2,,,,,,,
,plastic spoons,box,1,,,,,,,
,Plastic knives,box,1,,,,,,,
,paper towels,individual,16,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Beans,,,,,,,,,
,Limmu,,0.5 big 1 small,,,,,,,
,Shanta,,1,,,,,,,
,Manos,,OUT,,,,,,,
,Decaf,,0.5,,,,,,,
,,,,,,,,,,
,-------------------------------------------,,,,,,,,,
7/11/25,MILKS,,,,,,,,,
,Whole Milk,,11,,,,,,,
,Low-Fat,,6,,,,,,,
,Half n Half,,7,,,,,,,
,Heavy Cream,,0,,x,,,,,
,Oat,,10,,,,,,,
,Almond,,14,,,,,,,
,Lemonade,,3,,,,,,,
,Soy,,24,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate sauce,bottle,2,,,,,,,
,Homemade Vanilla,bottle,7,,,,,,,
,Vanilla Creme,bottle,6,,,,,,,
,Caramel,bottle,2,,x,,,,,
,Strawberry,bottle,12,,,,,,,
,Pistachio,bottle,3,,,,,,,
,Vanilla ,bottle,0,,,,,,,
,Sugar Free Vanilla,bottle,3,,,,,,,
,Honey,Bottle,0.5,,x,,,,,
,Irish Cream,bottle,1,,,,,,,
,Ube,bottle,0,,,,,,,
,Rose,bottle,2,,,,,,,
,Gingerbread,bottle,0,,,,,,,
,Dark chocolate syrup,bottle,4,,,,,,,
,Peppermint,bottle,1,,,,,,,
,,,,,,,,,,
,TEA,,,,,,,,,
,Matcha,bag,1,,,,,,,
,Chai Masala,bottle,15,,,,,,,
,Turmeric Ginger,carton,37,,,,,,,
,English Breakfast,bag,1.5,,,,,,,
,Earl Grey,bag,OUT,,,,,,,
,Pineapple Papaya,bag,1.5,,,,,,,
,Moroccan Mint,bag,1.5,,,,,,,
,Jasmine,bag,2,,,,,,,
,"Chai, caffeine free",bag,2,,,,,,,
,Chamomint,bag,0.5,,x,,,,,
,Crimson berry ,bag,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,2,,,,,,,
,Raisins,bags,1.5,,,,,,,
,Walnuts,Bags,0,,,,,,,
,Pistachios,Bag,1,,,,,,,
,Cinnamon,,3/4,,,,,,,
,Sweet and low ,,0.5,,x,,,,,
,Stevia,Box,1.5,,,,,,,
,Raw Sugar,Box,1.5,,,,,,,
,Splenda,Box,1.5,,,,,,,
,White sugar bulk,,1 small bag,,x,,,,,
,White sugar packets,Box,2,,,,,,,
,Greek seasoning,bottle,3,,,,,,,
,Rose Powder,,.5 LOW,,x,,,,,
,,,,,,,,,,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16-18 oz Cups,sleeve,35,,,,,,,
,Cold 12-14 oz Cups,Sleeve,12,,,,,,,
,Cold Lids,Sleeve,39,,,,,,,
,Cold 20 oz,Sleeve,0,,,,,,,
,Hot 12 oz Cups,box,31,,,,,,,
,Hot 12-24oz Lids,box,2,,,,,,,
,Hot 8oz Cups,box,12,,,,,,,
,Hot 8oz Lids,box,2,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,48,,,,,,,
,San Pellegrino Cans,Cans,36,,,,,,,
,Fiji Small,Packs,84,,,,,,,
,Fiji Large,individual,7,,,,,,,
,Lychee Soda,can,16,,,,,,,
,Yuzu Ginger Soda,can,0,,x,,,,,
,Hibiscus Rose Soda,can,32,,,,,,,
,Cucumber Soda,can,22,,,,,,,
,Gato Pistachios,,5,,,,,,,
,Gato Walnut,,13,,,,,,,
,Gato Almond,,6,,,,,,,
,Macaroon,individual,OUT,,,,,,,
,Chia parfait Berries,,8,,,,,,,
,Chiamisu,,8,,,,,,,
,Vegan strawberry vanilla chia ,,4,,,,,,,
,Blue Mermaid protein bowl,,4,,,,,,,
,Chia dragon fruit,,5,,,,,,,
,Shanta,12 oz,5,,,,,,,
,Limmu,12 oz,0,,,,,,,
,Matcha,bags,,,,,,,,
,Manos,12oz,,,,,,,,
,Dubai chocolate,bars,4,,,,,,,
,chicken salad,,2,,,,,,,
,Turkey wrap,,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,10,,,,,,,
,Cucumber,,12,,,,,,,
,Tomato,,OUT,,,,,,,
,,,,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,1,,,,,,,
,Peanut Butter,64oz,3,,,,,,,
,Bread,Loaf,1.5,,,,,,,
,Lemon Juice,bottle,1.5,,,,,,,
,Hot sauce,,1.5,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Drip Filters,Bag,1.5,,,,,,,
,Scotch,,10,,,,,,,
,Gloves M,Box,1,,,,,,,
,Gloves Large,Box,3,,,,,,,
,Handsoap,Gallon,4,,,,,,,
,Bleach,Gallon,1/4,,x,,,,,
,fabric clean,,1.5,,,,,,,
,Degreaser,,1,,,,,,,
,Cafiza,bucket,1,,,,,,,
,Rinza,container,1,,,,,,,
,Grindz,,4,,,,,,,
,Pink Sanitizer,,1,,,,,,,
,Thieves Solution,,0.5,,,,,,,
,Machine dish soap,,2,,,,,,,
, paper towels,roll,46,,,,,,,
,2 fold napkins,roll,21,,,,,,,
,Toilet Paper,roll,58,,,,,,,
,Toilet seat cover,box,4,,,,,,,
,Febreze,,10,,,,,,,
,Dawn Dishsoap,bottle,4,,,,,,,
,Trash Bags 56 gal,box,2,,,,,,,
,Trash Bags 42 gal,box,2,,,,,,,
,Glass Cleaner ,,1,,,,,,,
,,,,,,,,,,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,50,,,,,,,
,Towels ,,FULL,,,,,,,
,Cup Sleeves,Box,1,,,,,,,
,Cup Carriers,box,1,,,,,,,
,Pastry Bag,Box/individual,LOW,,x,,,,,
,To-Go Box,Sleeve,2,,,,,,,
,To-Go Bag,box,1,,,,,,,
,Straws,box,1,,,,,,,
,Stickers,roll,1 LOW,,x,,,,,
,Stir Sticks,Box,7,,,,,,,
,Stoppers,packs,1.5,,,,,,,
,Matcha bowl,individual,1,,,,,,,
,Matcha whisk,individual,2,,,,,,,
,Large coffee filter,Sleeve/bag,4,,,,,,,
,Plastic forks,Box,2,,,,,,,
,plastic spoons,box,1,,,,,,,
,Plastic knives,box,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Beans,,,,,,,,,
,Limmu,,2,,,,,,,
,Shanta,,1,,,,,,,
,Manos,,OUT,,,,,,,
,Decaf,,0,,,,,,,
,,,,,,,,,,
,-------------------------------------------,,,,,,,,,
,,,,,,,,,,
7/12/25,MILKS,,,,,,,,,
,Whole Milk,,9,,,,,,,
,Low-Fat,,5,,,,,,,
,Half n Half,,6,,,,,,,
,Heavy Cream,,4,,,,,,,
,Oat,,7,,,,,,,
,Almond,,10,,,,,,,
,Lemonade,,3,,,,,,,
,Soy,,26,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate sauce,bottle,2,,,,,,,
,Homemade Vanilla,bottle,7,,,,,,,
,Vanilla Creme,bottle,6,,,,,,,
,Caramel,bottle,3,,,,,,,
,Strawberry,bottle,12,,,,,,,
,Pistachio,bottle,3,,,,,,,
,Vanilla ,bottle,0,,,,,,,
,Sugar Free Vanilla,bottle,3,,,,,,,
,Honey,Bottle,1,,,,,,,
,Irish Cream,bottle,1,,,,,,,
,Ube,bottle,0,,,,,,,
,Rose,bottle,2,,,,,,,
,Gingerbread,bottle,0,,,,,,,
,Dark chocolate syrup,bottle,4,,,,,,,
,Peppermint,bottle,1,,,,,,,
,,,,,,,,,,
,TEA,,,,,,,,,
,Matcha,bag,1,,,,,,,
,Chai Masala,bottle,14,,,,,,,
,Turmeric Ginger,carton,32,,,,,,,
,English Breakfast,bag,1.5,,,,,,,
,Earl Grey,bag,OUT,,,,,,,
,Pineapple Papaya,bag,1.5,,,,,,,
,Moroccan Mint,bag,1.5,,,,,,,
,Jasmine,bag,2,,,,,,,
,"Chai, caffeine free",bag,2,,,,,,,
,Chamomint,bag,0.5,,,,,,,
,Crimson berry ,bag,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,2,,,,,,,
,Raisins,bags,1.5,,,,,,,
,Walnuts,Bags,0,,,,,,,
,Pistachios,Bag,1,,,,,,,
,Cinnamon,,3/4,,,,,,,
,Sweet and low ,,0.5,,,,,,,
,Stevia,Box,1.5,,,,,,,
,Raw Sugar,Box,1.5,,,,,,,
,Splenda,Box,1.5,,,,,,,
,White sugar bulk,,1 small bag,,,,,,,
,White sugar packets,Box,2,,,,,,,
,Greek seasoning,bottle,3,,,,,,,
,Rose Powder,,2,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16-18 oz Cups,sleeve,17,,,,,,,
,Cold 12-14 oz Cups,Sleeve,12,,,,,,,
,Cold Lids,Sleeve,10,,,,,,,
,Cold 20 oz,Sleeve,0,,,,,,,
,Hot 12 oz Cups,box,12,,,,,,,
,Hot 12-24oz Lids,box,2,,,,,,,
,Hot 8oz Cups,box,32,,,,,,,
,Hot 8oz Lids,box,2,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,48,,,,,,,
,San Pellegrino Cans,Cans,36,,,,,,,
,Fiji Small,Packs,75,,,,,,,
,Fiji Large,individual,7,,,,,,,
,Lychee Soda,can,13,,,,,,,
,Yuzu Ginger Soda,can,0,,,,,,,
,Hibiscus Rose Soda,can,21,,,,,,,
,Cucumber Soda,can,21,,,,,,,
,,,,,,,,,,
,Gato Pistachios,,6,,,,,,,
,Gato Walnut,,8,,,,,,,
,Gato Almond,,4,,,,,,,
,Macaroon,individual,OUT,,,,,,,
,Chia parfait Berries,,10,,,,,,,
,Chiamisu,,8,,,,,,,
,Vegan strawberry vanilla chia ,,7,,,,,,,
,Blue Mermaid protein bowl,,8,,,,,,,
,Chia dragon fruit,,6,,,,,,,
,Shanta,12 oz,5,,,,,,,
,Limmu,12 oz,0,,,,,,,
,Matcha,bags,,,,,,,,
,Manos,12oz,,,,,,,,
,Dubai chocolate,bars,4,,,,,,,
,chicken salad,,2,,,,,,,
,Turkey wrap,,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,3,,,,,,,
,Cucumber,,12,,,,,,,
,Tomato,,OUT,,,,,,,
,,,,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,1.5,,,,,,,
,Peanut Butter,64oz,3,,,,,,,
,Bread,Loaf,1.5,,,,,,,
,Lemon Juice,bottle,1.5,,,,,,,
,Hot sauce,,1.5,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Drip Filters,Bag,1.5,,,,,,,
,Scotch,,10,,,,,,,
,Gloves M,Box,1,,,,,,,
,Gloves Large,Box,3,,,,,,,
,Handsoap,Gallon,4,,,,,,,
,Bleach,Gallon,1/4,,,,,,,
,fabric clean,,1.5,,,,,,,
,Degreaser,,1,,,,,,,
,Cafiza,bucket,1,,,,,,,
,Rinza,container,1,,,,,,,
,Grindz,,4,,,,,,,
,Pink Sanitizer,,1,,,,,,,
,Thieves Solution,,0.5,,,,,,,
,Machine dish soap,,2,,,,,,,
, paper towels,roll,42,,,,,,,
,2 fold napkins,roll,21,,,,,,,
,Toilet Paper,roll,58,,,,,,,
,Toilet seat cover,box,4,,,,,,,
,Febreze,,10,,,,,,,
,Dawn Dishsoap,bottle,4,,,,,,,
,Trash Bags 56 gal,box,2,,,,,,,
,Trash Bags 42 gal,box,2,,,,,,,
,Glass Cleaner ,,1,,,,,,,
,,,,,,,,,,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,50,,,,,,,
,Towels ,,FULL,,,,,,,
,Cup Sleeves,Box,1,,,,,,,
,Cup Carriers,box,1,,,,,,,
,Pastry Bag,Box/individual,LOW,,,,,,,
,To-Go Box,Sleeve,1- LOW,,,,,,,
,To-Go Bag,box,1,,,,,,,
,Straws,box,1,,,,,,,
,Stickers,roll,4,,,,,,,
,Stir Sticks,Box,7,,,,,,,
,Stoppers,packs,1.5,,,,,,,
,Matcha bowl,individual,1,,,,,,,
,Matcha whisk,individual,0,,,,,,,
,Large coffee filter,Sleeve/bag,4,,,,,,,
,Plastic forks,Box,2,,,,,,,
,plastic spoons,box,1,,,,,,,
,Plastic knives,box,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Beans,,,,,,,,,
,Limmu,,2 little buckets ,,,,,,,
,Shanta,,0.5,,,,,,,
,Manos,,OUT,,,,,,,
,Decaf,,OUT,,,,,,,
,,,,,,,,,,
,-------------------------------------------,,,,,,,,,
,,,,,,,,,,
7/13/25,MILKS,,,,,,,,,
,Whole Milk,,6,,,,,,,
,Low-Fat,,4,,,,,,,
,Half n Half,,6,,,,,,,
,Heavy Cream,,4,,,,,,,
,Oat,,0,,,,,,,
,Almond,,0,,,,,,,
,Lemonade,,3,,,,,,,
,Soy,,21,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate sauce,bottle,2,,x,,,,,
,Homemade Vanilla,bottle,7,,,,,,,
,Vanilla Creme,bottle,6,,,,,,,
,Caramel,bottle,3,,x,,,,,
,Strawberry,bottle,12,,,,,,,
,Pistachio,bottle,3,,x,,,,,
,Vanilla ,bottle,0,,,,,,,
,Sugar Free Vanilla,bottle,3,,,,,,,
,Honey,Bottle,1,,x,,,,,
,Irish Cream,bottle,1,,,,,,,
,Ube,bottle,0,,,,,,,
,Rose,bottle,2,,x,,,,,
,Gingerbread,bottle,0,,,,,,,
,Dark chocolate syrup,bottle,4,,,,,,,
,Peppermint,bottle,1,,,,,,,
,,,,,,,,,,
,TEA,,,,,,,,,
,Matcha,bag,1,,,,,,,
,Chai Masala,bottle,14,,,,,,,
,Turmeric Ginger,carton,32,,,,,,,
,English Breakfast,bag,1.5,,,,,,,
,Earl Grey,bag,OUT,,,,,,,
,Pineapple Papaya,bag,1.5,,,,,,,
,Moroccan Mint,bag,1.5,,,,,,,
,Jasmine,bag,2,,,,,,,
,"Chai, caffeine free",bag,2,,,,,,,
,Chamomint,bag,0.5,,,,,,,
,Crimson berry ,bag,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,2,,,,,,,
,Raisins,bags,1.5,,,,,,,
,Walnuts,Bags,0,,,,,,,
,Pistachios,Bag,1,,,,,,,
,Cinnamon,,3/4,,,,,,,
,Sweet and low ,,0.5,,x,,,,,
,Stevia,Box,1.5,,,,,,,
,Raw Sugar,Box,1.5,,,,,,,
,Splenda,Box,1.5,,,,,,,
,White sugar bulk,,1 small bag,,x,,,,,
,White sugar packets,Box,2,,,,,,,
,Greek seasoning,bottle,3,,,,,,,
,Rose Powder,,2,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16-18 oz Cups,sleeve,17,,,,,,,
,Cold 12-14 oz Cups,Sleeve,12,,,,,,,
,Cold Lids,Sleeve,10,,,,,,,
,Cold 20 oz,Sleeve,0,,,,,,,
,Hot 12 oz Cups,box,12,,,,,,,
,Hot 12-24oz Lids,box,2,,,,,,,
,Hot 8oz Cups,box,32,,,,,,,
,Hot 8oz Lids,box,2,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,48,,,,,,,
,San Pellegrino Cans,Cans,36,,,,,,,
,Fiji Small,Packs,75,,,,,,,
,Fiji Large,individual,7,,x,,,,,
,Lychee Soda,can,13,,,,,,,
,Yuzu Ginger Soda,can,0,,x,,,,,
,Hibiscus Rose Soda,can,21,,,,,,,
,Cucumber Soda,can,21,,,,,,,
,,,,,,,,,,
,Gato Pistachios,,6,,,,,,,
,Gato Walnut,,8,,,,,,,
,Gato Almond,,4,,,,,,,
,Macaroon,individual,OUT,,,,,,,
,Chia parfait Berries,,10,,,,,,,
,Chiamisu,,8,,,,,,,
,Vegan strawberry vanilla chia ,,7,,,,,,,
,Blue Mermaid protein bowl,,8,,,,,,,
,Chia dragon fruit,,6,,,,,,,
,Shanta,12 oz,5,,,,,,,
,Limmu,12 oz,0,,x,,,,,
,Matcha,bags,,,,,,,,
,Manos,12oz,,,,,,,,
,Dubai chocolate,bars,4,,,,,,,
,chicken salad,,2,,,,,,,
,Turkey wrap,,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,3,,x,,,,,
,Cucumber,,12,,,,,,,
,Tomato,,12,,,,,,,
,,,,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,1.5,,,,,,,
,Peanut Butter,64oz,3,,,,,,,
,Bread,Loaf,1.5,,,,,,,
,Lemon Juice,bottle,1.5,,,,,,,
,Hot sauce,,1.5,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Drip Filters,Bag,1.5,,,,,,,
,Scotch,,10,,,,,,,
,Gloves M,Box,1,,,,,,,
,Gloves Large,Box,3,,,,,,,
,Handsoap,Gallon,4,,,,,,,
,Bleach,Gallon,1/4,,,,,,,
,fabric clean,,1.5,,,,,,,
,Degreaser,,1,,,,,,,
,Cafiza,bucket,1,,,,,,,
,Rinza,container,1,,,,,,,
,Grindz,,4,,,,,,,
,Pink Sanitizer,,1,,,,,,,
,Thieves Solution,,0.5,,,,,,,
,Machine dish soap,,2,,,,,,,
, paper towels,roll,42,,,,,,,
,2 fold napkins,roll,21,,,,,,,
,Toilet Paper,roll,58,,,,,,,
,Toilet seat cover,box,4,,,,,,,
,Febreze,,10,,,,,,,
,Dawn Dishsoap,bottle,4,,,,,,,
,Trash Bags 56 gal,box,2,,,,,,,
,Trash Bags 42 gal,box,2,,,,,,,
,Glass Cleaner ,,1,,,,,,,
,,,,,,,,,,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,50,,x,,,,,
,Towels ,,FULL,,,,,,,
,Cup Sleeves,Box,1,,,,,,,
,Cup Carriers,box,1,,,,,,,
,Pastry Bag,Box/individual,LOW,,x,,,,,
,To-Go Box,Sleeve,1- LOW,,x,,,,,
,To-Go Bag,box,1,,,,,,,
,Straws,box,1,,,,,,,
,Stickers,roll,4,,,,,,,
,Stir Sticks,Box,7,,,,,,,
,Stoppers,packs,1.5,,,,,,,
,Matcha bowl,individual,1,,,,,,,
,Matcha whisk,individual,0,,x,,,,,
,Large coffee filter,Sleeve/bag,4,,,,,,,
,Plastic forks,Box,2,,,,,,,
,plastic spoons,box,1,,,,,,,
,Plastic knives,box,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Beans,,,,,,,,,
,Limmu,,2 little buckets ,,,,,,,
,Shanta,,0.5,,,,,,,
,Manos,,OUT,,,,,,,
,Decaf,,OUT,,,,,,,
,,,,,,,,,,
,-------------------------------------------,,,,,,,,,
7/18/25,MILKS,,,,,,,,,
,Whole Milk,,8,,,,,,,
,Low-Fat,,9,,,,,,,
,Half n Half,,5,,,,,,,
,Heavy Cream,,5,,,,,,,
,Oat,,38,,,,,,,
,Almond,,34,,,,,,,
,Lemonade,,2.5,,,,,,,
,Soy,,15,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate sauce,bottle,2,,,,,,,
,Homemade Vanilla,bottle,5,,,,,,,
,Vanilla Creme,bottle,4,,,,,,,
,Caramel,bottle,3,,,,,,,
,Strawberry,bottle,10,,,,,,,
,Pistachio,bottle,3,,,,,,,
,Vanilla ,bottle,0,,,,,,,
,Sugar Free Vanilla,bottle,3,,,,,,,
,Honey,Bottle,OUT,,x,,,,,
,Irish Cream,bottle,1,,,,,,,
,Ube,bottle,0,,,,,,,
,Rose,bottle,2,,,,,,,
,Gingerbread,bottle,0,,,,,,,
,Dark chocolate syrup,bottle,2,,,,,,,
,Peppermint,bottle,1,,,,,,,
,,,,,,,,,,
,TEA,,,,,,,,,
,Matcha,bag,1,,x,,,,,
,Chai Masala,bottle,9,,,,,,,
,Turmeric Ginger,carton,32,,,,,,,
,English Breakfast,bag,1.5,,,,,,,
,Earl Grey,bag,OUT,,,,,,,
,Pineapple Papaya,bag,1,,,,,,,
,Moroccan Mint,bag,1,,,,,,,
,Jasmine,bag,2,,,,,,,
,"Chai, caffeine free",bag,2,,,,,,,
,Chamomint,bag,0.5,,x,,,,,
,Crimson berry ,bag,0.5,,x,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,2,,,,,,,
,Raisins,bags,1,,,,,,,
,Walnuts,Bags,0,,,,,,,
,Pistachios,Bag,2,,,,,,,
,Cinnamon,,3/4,,,,,,,
,Sweet and low ,,0.5,,x,,,,,
,Stevia,Box,1.5,,,,,,,
,Raw Sugar,Box,1.5,,,,,,,
,Splenda,Box,1.5,,,,,,,
,White sugar bulk,,1 small bag,,x,,,,,
,White sugar packets,Box,2,,,,,,,
,Greek seasoning,bottle,3,,,,,,,
,Rose Powder,,2,,x,,,,,
,,,,,,,,,,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16-18 oz Cups,sleeve,19,,x,,,,,
,Cold 12-14 oz Cups,Sleeve,7,,x,,,,,
,Cold Lids,Sleeve,10,,,,,,,
